route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,trip_type
1,000001,88____:049::8885001:8885704:4:826:20211203,Mouscron,11000,,1,,1
1,000001,88____:049::8885001:8885704:4:926:20211203,Mouscron,11001,,2,,1
1,000001,88____:049::8885001:8885704:4:1026:20211203,Mouscron,11002,,3,,1
1,000001,88____:049::8885001:8885704:4:1126:20211203,Mouscron,11003,,4,,1
2,000002,88____:049::8892601:8895208:4:604:20211205,Zottegem,11003,,5,,1
1,000001,88____:049::8885001:8885704:4:1226:20211203,Mouscron,11004,,6,,1
2,000002,88____:049::8892601:8895208:4:704:20211205,Zottegem,11004,,7,,1
1,000001,88____:049::8885001:8885704:4:1326:20211203,Mouscron,11005,,8,,1
2,000002,88____:049::8892601:8895208:4:804:20211205,Zottegem,11005,,9,,1
3,000003,88____:049::8892007:8891009:10:141:20211114,Bruges,11005,,10,,1
4,000004,88____:049::8892007:8896149:4:742:20220109,Waregem,11005,,11,,1
5,000005,88____:049::8896305:8896735:5:841:20220116,Poperinge,11005,,12,,1
1,000001,88____:049::8885001:8885704:4:1426:20211203,Mouscron,11006,,13,,1
2,000002,88____:049::8892601:8895208:4:904:20211205,Zottegem,11006,,14,,1
4,000004,88____:049::8892007:8896149:4:842:20220109,Waregem,11006,,15,,1
5,000005,88____:049::8896305:8896735:5:941:20220116,Poperinge,11006,,16,,1
1,000001,88____:049::8885001:8885704:4:1526:20211203,Mouscron,11007,,17,,1
6,000003,88____:049::8873007:8872009:8:744:20211114,Charleroi-Sud,11007,,18,,1
7,000006,88____:049::8891405:8891009:3:800:20211128,Bruges,11007,,19,,1
2,000002,88____:049::8892601:8895208:4:1004:20211205,Zottegem,11007,,20,,1
4,000004,88____:049::8892007:8896149:4:942:20220109,Waregem,11007,,21,,1
5,000005,88____:049::8896305:8896735:5:1041:20220116,Poperinge,11007,,22,,1
1,000001,88____:049::8885001:8885704:4:1626:20211203,Mouscron,11008,,23,,1
6,000003,88____:049::8872009:8873007:8:912:20211114,Walcourt,11008,,24,,1
7,000006,88____:049::8891405:8891009:3:900:20211128,Bruges,11008,,25,,1
